Area,City,Latitude,Longitude
GT Road,Gujrat,32.5933537,74.044649
Shadman Colony,Gujrat,32.5890568,74.0634867
Badshahi Road,Gujrat,32.5999916,74.0616286
New Shadman Colony,Gujrat,32.5918224,74.0680432
Chenab Orchard,Gujrat,32.5607528,74.0984548
Model Town,Gujrat,32.5627852,74.064535
Al Nabi Colony,Gujrat,32.5825657,74.0905524
Gulshan Colony,Gujrat,32.5900326,74.0729785
Star Colony,Gujrat,32.6045851,74.0798342
Citi Housing Society,Gujranwala,32.1525312,74.1933745
DHA Defence,Gujranwala,32.1525312,74.1933745
DC Colony,Gujranwala,32.2358348,74.1472169
Palm City Housing Scheme,Gujranwala,32.1525312,74.1933745
Wapda Town,Gujranwala,32.0926155,74.1876977
Eminabad More,Gujranwala,32.1525312,74.1933745
Wahdat Colony,Gujranwala,32.1538575,74.2095414
Canal View Housing Scheme,Gujranwala,32.1525312,74.1933745
Garden Town,Gujranwala,32.271289,75.1423007
Gujranwala Bypass,Gujranwala,32.2040514,74.1902198
Allama Iqbal Town,Gujranwala,32.4947268,74.5028911
Peoples Colony,Gujranwala,32.1397604,74.2087322
Sialkot Bypass,Gujranwala,32.1966478,74.212774
Rahwali Cantt,Gujranwala,32.1525312,74.1933745
Master City Housing Scheme,Gujranwala,32.1525312,74.1933745
Aziza Housing Scheme,Gujranwala,32.1525312,74.1933745
Sui Gas Road,Gujranwala,32.1937167,74.1857923
Citi Housing Society,Sialkot,32.4944866,74.5415636
Ghalib Road,Sialkot,32.5110716,74.5742331
Wazirabad Road,Sialkot,32.4981569,74.4924764
Dinpura,Sialkot,32.4944866,74.5415636
Kashmir Road,Sialkot,32.5073873,74.5121119
Bilal Town,Sialkot,32.324888,74.3362688
Chenab Rangers Road,Sialkot,32.5099348,74.5843234
Mag Town,Sialkot,32.499137,74.5023205
Capital Road,Sialkot,32.4944866,74.5415636
Sambrial,Sialkot,32.4756481,74.3529135
Cantt,Sialkot,32.5287511,74.5602349
Buttar,Sialkot,32.4829646,74.5102734
Defence Homes Society,Sialkot,32.4944866,74.5415636
Marala Road,Sialkot,32.5998145,74.4943053
Khokhar Town,Sialkot,32.4820859,74.5042522
Rangpura Road,Sialkot,32.4894998,74.5635282
Hadi Town,Sialkot,32.4820172,74.5081222
Akberabad,Sialkot,32.4944866,74.5415636
Muradpur,Sialkot,32.4944866,74.5415636
Askari 2,Sialkot,32.4944866,74.5415636
Noorpura,Sialkot,32.3286746,74.3634848
Jammu Road,Sialkot,32.5018426,74.5620637
Gohadpur,Sialkot,32.5202262,74.505996
Defence Road,Sialkot,32.4950636,74.5014533
Pasrur Road,Sialkot,32.4787275,74.5477566
Khadim Ali Road,Sialkot,32.5050891,74.5226408
Ugoki,Sialkot,32.4802182,74.4498709
Model Town Coop Housing Society,Sialkot,32.4944866,74.5415636
Citi Housing Scheme,Jhelum,32.9292155,73.7258593
Cantt,Jhelum,32.9227649,73.7145144
Sialkot Road,Wazirabad,32.4440016,74.1341601
