Title,Price_Raw,Price_PKR,Size_Raw,Size_Marla,Listing_URL,City,Property_Type,Bedrooms,Bathrooms,Location
River Garden 5 Marla House for sale,2.25 Crore,22500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gt_road_river_garden_housing_scheme_river_garden_5_marla_house_for_sale-54629918-10490-1.html,Gujrat,House,3.0,4.0,"GT Road, Gujrat, Punjab"
5 Marla Newly Constructed Furnished House For Sale,2.75 Crore,27500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujrat_shadman_colony_5_marla_newly_constructed_furnished_house_for_sale-54165768-1031-1.html,Gujrat,House,6.0,5.0,"Shadman Colony, Gujrat, Punjab"
"Prime Commercial-Location House for Sale Near Zahoor Elahi Stadium, Bara Dari Road, Gujrat",6.5 Crore,65000000.0,14.0 Marla,14.0,https://www.zameen.com/Property/gujrat_bara_dari_prime_commercial-location_house_for_sale_near_zahoor_elahi_stadium_bara_dari_road_gujrat-54564923-10815-1.html,Gujrat,House,,,
10 Marla Luxury House,4.3 Crore,43000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gt_road_river_garden_housing_scheme_10_marla_luxury_house-54268132-10490-1.html,Gujrat,House,,,"GT Road, Gujrat, Punjab"
5 Marla Luxury Designer House,2.85 Crore,28500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gt_road_river_garden_housing_scheme_5_marla_luxury_designer_house-54256258-10490-1.html,Gujrat,House,4.0,6.0,"GT Road, Gujrat, Punjab"
5 Marla Luxury Double Storey House,2.45 Crore,24500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gt_road_river_garden_housing_scheme_5_marla_luxury_double_storey_house-54311333-10490-1.html,Gujrat,House,5.0,6.0,"GT Road, Gujrat, Punjab"
8 Marla Luxury House River Garden,3.99 Crore,39900000.0,8.0 Marla,8.0,https://www.zameen.com/Property/gt_road_river_garden_housing_scheme_8_marla_luxury_house_river_garden-54552240-10490-1.html,Gujrat,House,5.0,6.0,"GT Road, Gujrat, Punjab"
8 Marla Luxury House River Garden,4.25 Crore,42500000.0,8.0 Marla,8.0,https://www.zameen.com/Property/gt_road_river_garden_housing_scheme_8_marla_luxury_house_river_garden-54552248-10490-1.html,Gujrat,House,5.0,6.0,"GT Road, Gujrat, Punjab"
10 Marla House in Gujrat,3.5 Crore,35000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gujrat_badshahi_road_10_marla_house_in_gujrat-54685981-5288-1.html,Gujrat,House,4.0,4.0,"Badshahi Road, Gujrat, Punjab"
10 Marla Luxury Victorian White House Double Highted,4.99 Crore,49900000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gt_road_river_garden_housing_scheme_10_marla_luxury_victorian_white_house_double_highted-54323468-10490-1.html,Gujrat,House,6.0,5.0,"GT Road, Gujrat, Punjab"
