Title,Price_Raw,Price_PKR,Size_Raw,Size_Marla,Listing_URL,City,Property_Type
7 Marla Brand New Ultra Modern And Beautiful House Available At Citi Housing Hot Location In A Town,2.68 Crore,26800000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_7_marla_brand_new_ultra_modern_and_beautiful_house_available_at_citi_housing_hot_location_in_a_town-54520803-8433-1.html,Jhelum,House
10 Marla House Available For Sale On Investor Rate.,3.0 Crore,30000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_10_marla_house_available_for_sale_on_investor_rate-53883246-8433-1.html,Jhelum,House
10 Marla House Available For Sale On Investor Rate.,3.1 Crore,31000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_10_marla_house_available_for_sale_on_investor_rate-53967142-8433-1.html,Jhelum,House
5 Marla Ultra-Luxury House For Sale | Premium Construction Services On Installment Plans,2.5 Crore,25000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_ultra-luxury_house_for_sale_premium_construction_services_on_installment_plans-52017552-8433-1.html,Jhelum,House
Exclusive 5 Marla Ultra Luxury Residence | Prime Location Citi Housing Jhelum,2.5 Crore,25000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_exclusive_5_marla_ultra_luxury_residence_prime_location_citi_housing_jhelum-53006397-8433-1.html,Jhelum,House
5 Marla House At Prime Main Location For Sale In Citi Housing Jhelum,1.9 Crore,19000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_house_at_prime_main_location_for_sale_in_citi_housing_jhelum-54190901-8433-1.html,Jhelum,House
5 Marla Designer House For Sale In Citi Housing Jhelum,2.0 Crore,20000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_designer_house_for_sale_in_citi_housing_jhelum-52951093-8433-1.html,Jhelum,House
5 Marla D Block Designer Concept House For Sale,2.2 Crore,22000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_d_block_designer_concept_house_for_sale-54663089-8433-1.html,Jhelum,House
5 Marla Spanish House For Sale In Citi Housing Jhelum,2.1 Crore,21000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_spanish_house_for_sale_in_citi_housing_jhelum-54144348-8433-1.html,Jhelum,House
5Marla House Available For sale in D block Citi housing Jhelum,1.9 Crore,19000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5marla_house_available_for_sale_in_d_block_citi_housing_jhelum-54707963-8433-1.html,Jhelum,House
10 Marla Corner House In Askari 1 Jhelum City On Investor Rate.,4.75 Crore,47500000.0,10.0 Marla,10.0,https://www.zameen.com/Property/jhelum_cantt_10_marla_corner_house_in_askari_1_jhelum_city_on_investor_rate-53978835-707-1.html,Jhelum,House
7 Marla House for Sale 3 Side Open House | Citi Housing Jhelum.,2.95 Crore,29500000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_7_marla_house_for_sale_3_side_open_house_citi_housing_jhelum-54599317-8433-1.html,Jhelum,House
